@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric

@data
2958,'2019/07/08 17:20:46:791',9,443.392212,383.548065,43.942322,515.558594,374.065186,59.889988,599.330627,377.856384,61.782314,677.763306,386.306091,57.251244,717.931519,401.142426,48.936234,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2959,'2019/07/08 17:20:46:850',9,444.04657,383.887787,43.922539,516.266357,374.551849,59.861191,600.153442,378.471008,61.743729,678.435791,387.007782,57.2033,718.947266,401.577454,48.863667,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2960,'2019/07/08 17:20:46:942',9,445.135315,384.71048,43.877354,517.743835,375.558655,59.807613,601.903564,379.655731,61.663582,680.135254,388.274658,57.081699,721.463989,402.322388,48.659195,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2961,'2019/07/08 17:20:47:006',9,446.13446,385.482025,43.762173,518.807373,376.346924,59.701607,603.256653,380.463623,61.540146,681.255249,389.119507,56.93866,722.746765,402.935425,48.485744,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2962,'2019/07/08 17:20:47:081',9,446.598114,385.763367,43.695339,519.322449,376.718903,59.638012,603.788574,380.935303,61.467365,681.570313,389.739075,56.861439,723.182434,403.338379,48.400436,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2963,'2019/07/08 17:20:47:174',9,447.465424,386.154663,43.568367,520.043823,377.331696,59.507977,604.172241,381.965515,61.334587,681.942566,390.658386,56.736664,723.334351,404.276215,48.288906,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2964,'2019/07/08 17:20:47:225',9,447.454224,386.163513,43.568729,520.08252,377.444916,59.502838,604.160461,382.177002,61.323761,681.806152,390.938721,56.726345,722.934509,404.698578,48.285961,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2965,'2019/07/08 17:20:47:304',9,447.535522,386.280609,43.576424,520.354187,377.672363,59.497261,604.24646,382.661499,61.29213,681.448364,391.626862,56.692688,722.596313,405.065979,48.262901,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2966,'2019/07/08 17:20:47:364',9,447.746521,386.1987,43.591362,520.507446,377.736572,59.50198,604.352478,382.904053,61.288063,681.416992,391.94339,56.689568,722.533081,405.22583,48.273388,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2967,'2019/07/08 17:20:47:444',9,448.39859,386.041382,43.646416,521.243713,377.65033,59.534439,604.891174,383.102051,61.300915,681.910767,392.051239,56.699409,722.792542,405.383179,48.294552,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2968,'2019/07/08 17:20:47:490',9,450.997894,385.346558,43.598068,525.191162,377.416412,59.898819,608.604492,382.657837,61.698624,686.206665,391.398651,57.063396,727.274536,405.806519,48.469135,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
